property_type,sector,price,bedRoom,bathroom,built_up_area,study room,servant room,store room
flat,sector 81,4.5,4,6,3801,0,1,0
flat,sector 107,0.82,2,2,1236,0,0,0
flat,sector 70a,1.25,2,2,1402,0,0,0
flat,sector 62,9.14,4,6,3932,1,1,1
flat,sector 37d,0.8,2,2,1300,0,0,0
flat,sector 86,0.82,2,2,1300,0,0,0
flat,sector 49,1.9,3,3,1600,0,0,0
flat,sohna road,0.93,2,2,1000,0,0,0
flat,sector 79,0.8,2,2,1688,1,0,0
flat,sector 70,2.1,4,5,2114,0,1,0
flat,sohna road,0.27,2,2,521,0,0,0
flat,sector 81,0.95,2,2,1112,0,0,0
flat,sector 56,1.54,3,4,1900,0,1,0
flat,sector 10a,0.9,2,2,1086,0,0,0
flat,sector 82,1.3,4,4,1774,0,1,0
flat,sector 79,1.1,3,3,2167,0,0,0
flat,sector 22,2.0,2,2,1533,0,0,0
flat,sector 2,0.95,2,2,1281,0,0,0
flat,sector 55,1.44,3,3,1700,0,0,0
flat,sector 92,0.42,3,3,711,0,0,0
flat,sector 70,1.23,2,2,1222,1,0,0
flat,sector 49,1.95,3,3,1633,0,0,0
flat,sector 109,1.4,3,3,1466,0,0,0
house,sector 57,9.25,5,5,5580,1,1,1
house,sector 25,4.5,5,3,1350,0,0,1
flat,sector 37d,0.8,2,2,1310,0,0,0
flat,sector 79,1.85,3,4,1946,0,1,0
flat,sector 95,0.55,3,2,866,1,0,0
house,sector 109,8.48,4,6,3600,1,1,1
flat,sector 67,3.49,3,3,2724,0,1,0
house,sector 17b,6.95,4,4,3500,1,1,1
flat,sector 33,1.4,3,2,113,0,0,0
flat,sector 71,1.0,3,3,1344,0,0,0
flat,sector 56,2.1,3,4,2200,0,0,0
flat,sector 85,2.13,4,4,2600,0,0,0
flat,sector 63,7.52,4,4,3956,0,0,0
flat,sector 37c,1.26,3,3,1400,0,0,0
flat,sector 56,1.59,4,3,1900,0,0,0
house,sector 92,0.85,4,4,1743,0,0,0
flat,sector 92,0.7,3,3,140,0,0,0
flat,sector 56,2.05,4,4,2500,0,0,0
flat,sector 41,2.75,3,3,1640,0,0,0
flat,sector 49,1.98,3,4,1750,0,1,0
house,sector 109,9.5,7,6,3600,1,1,0
flat,sector 72,3.5,4,5,2625,0,1,0
house,sector 55,3.55,4,4,1449,0,0,0
flat,sector 89,0.86,2,3,1226,1,1,0
flat,sector 28,2.2,3,4,1956,0,1,0
flat,sector 88a,0.45,2,2,695,0,0,0
flat,sohna road road,0.69,2,2,1350,0,0,0
house,sector 110,0.34,1,1,500,0,0,0
flat,sector 67,2.95,3,3,2236,0,1,0
flat,sector 67,3.5,3,4,2490,0,1,0
flat,sector 33,2.1,3,3,1619,0,0,0
flat,manesar,1.2,3,4,1670,0,1,0
flat,sector 89,1.1,3,2,1550,0,0,0
flat,sector 67a,1.4,2,2,1149,1,0,0
flat,sector 69,1.55,3,3,1455,0,0,0
flat,manesar,0.64,3,2,1696,0,0,0
house,sector 43,5.5,1,1,1935,0,0,0
flat,sector 71,1.1,3,3,1466,0,0,0
flat,sector 33,1.3,3,2,1409,0,0,0
house,sector 25,6.6,6,7,1800,1,1,0
house,sector 31,4.25,5,5,1620,0,0,1
house,sector 70a,0.92,2,3,1319,0,0,0
flat,sohna road,0.4,2,2,615,0,0,0
flat,sector 90,1.15,3,3,1645,0,0,0
flat,sector 14,2.2,3,4,1956,0,0,0
flat,sector 89,1.0,2,2,1230,1,0,0
flat,sector 79,1.9,3,4,2389,0,1,0
flat,sector 81,2.2,3,3,1570,1,1,0
flat,sector 90,1.78,4,4,2005,0,0,0
house,sector 43,2.45,4,4,540,1,1,0
flat,sector 61,2.45,3,3,1223,1,1,0
flat,sector 99a,0.31,2,2,583,0,0,0
flat,sector 90,0.7,2,2,1224,1,0,0
flat,sector 106,1.35,4,3,1678,0,1,0
house,sector 109,5.75,4,4,4800,0,1,0
flat,sector 90,1.25,3,3,1700,0,1,0
house,sector 3,3.5,1,1,3800,0,0,0
flat,sector 99a,0.27,2,2,538,0,0,0
flat,sector 112,3.75,3,3,2225,0,1,0
flat,sector 74,1.54,2,2,1200,0,0,0
house,sector 4,0.58,2,2,67,0,0,0
flat,sector 72,5.25,4,4,3000,0,1,0
house,sector 2,3.65,3,9,1557,0,1,0
flat,sector 110,1.8,3,3,1850,0,1,0
house,sector 6,0.85,2,2,1222,0,0,0
flat,manesar,0.75,3,4,2717,0,1,0
house,sector 2,5.2,4,5,5200,0,0,0
flat,sector 107,0.9,2,2,1236,0,0,0
flat,sector 90,1.25,3,3,1541,0,1,0
house,sector 50,7.0,4,4,2160,0,1,0
house,sector 50,12.0,5,6,3240,0,0,0
flat,sector 86,1.25,3,2,1529,0,0,0
flat,sector 65,2.36,3,3,1524,1,1,0
flat,sector 86,1.05,3,3,1715,0,1,0
flat,sector 52,1.76,4,4,2199,0,0,0
flat,sector 81,1.1,3,2,1319,0,0,0
flat,sector 92,0.8,3,2,1473,0,0,0
flat,sector 83,0.6,2,2,990,0,0,0
flat,sector 85,0.93,3,3,1587,0,0,0
house,sector 48,6.4,4,4,2700,0,1,1
flat,sector 102,1.45,3,3,1493,0,1,0
flat,sector 85,1.18,2,2,1700,1,0,0
house,sector 46,3.5,4,4,1620,0,0,0
house,sector 83,1.7,3,3,2160,0,1,0
flat,sector 95,0.55,2,2,1256,1,0,0
flat,sector 102,0.96,2,2,828,0,0,0
flat,sohna road,0.35,2,2,699,0,0,0
flat,sector 70,5.0,6,7,5333,1,1,0
house,sector 3 phase 3 extension,0.55,2,1,1100,0,0,0
flat,sector 33,1.2,2,2,1492,0,0,0
flat,sector 74,2.2,3,3,1826,1,0,0
flat,sector 77,1.35,3,3,1451,0,0,1
flat,sector 33,1.2,2,2,85,0,0,0
flat,sector 36,0.72,3,2,978,0,0,0
house,sector 12,0.7,3,3,1160,0,0,0
flat,sector 69,1.43,3,3,1455,0,0,0
flat,sohna road,0.22,1,1,477,0,0,0
flat,sector 65,5.2,3,3,2696,1,1,0
flat,sector 88a,1.3,3,3,1990,0,0,0
flat,sector 69,0.62,2,2,536,0,0,0
flat,sector 95,0.33,2,2,694,0,0,0
flat,sector 21,0.8,2,2,1256,0,0,0
flat,sector 43,6.5,4,5,2661,0,1,0
house,sector 26,20.0,5,7,4500,0,1,0
flat,sector 37c,0.86,2,3,1442,1,0,0
flat,dwarka expressway,1.2,3,3,1940,0,1,0
flat,sohna road,0.46,2,2,789,0,0,0
house,sector 2,6.0,4,4,3000,0,0,0
flat,sector 65,5.4,3,4,2696,1,1,0
flat,sector 95,0.26,1,1,406,0,0,0
flat,sector 83,0.65,1,1,700,0,0,0
flat,sector 66,3.9,3,4,2200,0,0,0
house,sector 7,3.1,3,3,2250,0,0,0
house,sohna road,1.55,2,3,1053,1,0,0
house,sector 108,10.5,5,4,7331,0,0,0
flat,sector 79,1.0,2,2,1300,1,0,0
flat,sector 82,1.16,3,3,1844,0,1,1
flat,sector 72,5.0,4,4,4500,1,1,0
house,sector 38,4.0,6,6,1836,1,1,0
flat,sector 68,1.2,2,2,982,0,0,0
flat,sector 86,1.58,3,3,1750,0,0,0
flat,sector 89,0.8,2,3,1502,1,0,0
flat,sohna road,0.85,3,2,1080,0,0,0
flat,sector 69,1.4,3,3,1419,0,0,0
house,sector 2,1.15,3,3,594,0,0,0
flat,sector 56,1.39,3,3,1738,1,0,0
flat,sector 62,9.2,4,6,3867,0,1,0
flat,sector 80,1.4,3,4,1854,0,0,1
flat,sector 70a,0.97,3,3,1339,0,0,0
flat,sector 77,1.5,3,3,1310,0,0,0
flat,sector 81,0.8,2,2,607,1,0,0
flat,sector 31,1.2,3,2,1450,0,0,0
house,sector 23,5.5,8,8,2520,1,1,0
house,sector 4,0.55,3,3,1350,0,0,0
house,sector 2,0.65,2,2,1125,0,0,1
flat,sector 7,0.36,2,2,700,0,0,0
flat,sector 66,3.4,4,4,2210,0,1,0
house,sohna road road,5.5,3,3,3500,1,1,0
flat,sector 69,1.92,4,4,1389,0,0,0
flat,sector 73,1.0,2,2,1444,0,0,0
flat,sector 68,1.05,2,2,1200,0,0,0
house,sector 43,1.65,4,4,540,0,0,0
flat,sector 99a,1.4,3,5,1807,0,0,0
flat,sector 51,0.3,1,1,459,0,0,0
flat,sector 65,1.8,2,2,1456,0,0,0
flat,sector 52,1.55,4,4,2100,0,0,0
flat,sector 67a,1.5,2,2,1500,0,0,1
flat,sector 108,1.5,3,4,2850,0,0,0
flat,sector 104,0.22,1,2,335,0,0,0
flat,sector 33,1.5,3,3,1403,1,0,0
flat,sohna road,0.28,2,2,743,0,0,0
flat,sector 56,1.35,3,3,1800,0,0,0
flat,sector 99a,1.05,2,2,1390,1,0,0
flat,sector 69,3.05,4,5,2856,0,1,0
flat,sector 60,3.75,4,4,2650,0,1,0
flat,sector 2,3.35,4,4,5000,1,0,0
flat,sector 62,4.25,3,3,1600,1,0,0
flat,sector 10a,0.8,2,3,1389,0,0,0
flat,sector 92,0.75,4,4,1734,0,0,0
flat,sector 69,0.6,2,1,584,0,0,0
flat,sector 50,1.82,3,3,1830,0,0,0
flat,sector 102,1.95,3,3,1616,0,0,0
house,sector 105,1.15,3,2,3889,0,0,0
flat,sector 83,0.8,2,2,1195,0,0,1
house,sector 28,9.54,6,5,3240,1,1,1
flat,sector 56,1.5,3,5,2250,1,0,0
flat,sector 85,1.58,3,4,2227,0,1,0
flat,sector 85,1.25,3,4,1616,0,1,0
flat,sector 92,0.78,2,2,846,0,0,0
flat,sector 92,0.65,3,3,1571,0,0,0
flat,sector 112,5.31,4,6,3573,0,1,0
flat,sector 72,4.1,4,5,2629,0,1,0
flat,sector 102,1.26,2,2,1100,0,0,0
flat,gwal pahari,5.9,4,4,5350,0,0,0
flat,sector 43,2.0,3,3,1467,0,1,0
flat,sector 86,1.6,3,3,1548,0,0,0
house,sector 49,4.5,8,8,2880,1,1,1
flat,sohna road,0.24,1,1,360,0,0,0
flat,sector 37c,0.4,2,2,756,0,0,0
house,sector 36,0.66,2,2,823,0,0,0
flat,sector 59,3.9,3,1,2295,0,0,0
flat,sector 70a,0.85,2,2,842,0,0,0
flat,sector 84,0.35,2,2,531,0,0,1
flat,sector 56,1.99,4,4,2000,0,0,0
flat,sector 79,0.71,2,2,1280,0,0,0
flat,sector 104,0.85,2,2,1269,1,0,0
house,sector 7,6.5,3,2,4320,0,0,0
flat,sector 63a,0.7,1,1,693,0,0,0
house,sector 50,12.25,5,7,5850,1,1,0
flat,sector 71,1.0,1,1,869,0,0,0
flat,sector 67,0.95,1,1,826,0,0,0
house,sector 15,1.07,2,2,900,0,1,0
flat,sector 86,0.5,2,2,578,0,0,0
flat,sohna road,1.35,3,3,2444,0,1,0
flat,sector 54,11.0,4,5,3444,1,1,0
flat,sector 63,3.0,3,3,2000,0,0,0
flat,sector 70,1.55,3,5,1527,0,1,0
flat,sector 104,1.75,3,4,2072,0,1,0
house,sector 10a,4.25,4,3,2367,0,0,0
flat,sector 3 phase 3 extension,0.25,2,2,778,0,0,0
flat,sector 79,1.95,3,4,1659,0,1,0
flat,sector 48,3.3,5,5,3305,0,1,0
flat,sector 2,0.75,2,2,1100,0,0,0
flat,sector 37d,1.1,3,3,1990,0,0,0
flat,sector 70,1.6,3,5,1527,0,1,0
house,sector 26,31.5,7,9,9000,1,1,1
flat,sector 107,0.9,2,2,1281,1,0,0
flat,sector 37d,1.78,4,3,1983,0,1,0
flat,sector 102,1.8,3,3,1531,0,0,0
flat,sector 70a,1.69,3,3,1900,0,1,0
flat,sector 67,3.39,3,4,2100,0,1,0
flat,sector 89,0.42,2,2,769,0,0,0
flat,sector 102,1.78,3,4,1748,0,1,0
flat,sohna road,0.25,2,2,587,0,0,0
flat,sector 106,1.25,3,4,1186,0,1,0
flat,sector 109,1.26,3,2,1701,0,0,0
flat,sector 54,1.59,3,3,2250,1,0,0
flat,sector 83,1.8,3,4,1551,1,1,1
house,sector 14,6.46,5,5,3420,1,1,0
flat,sector 79,1.3,2,2,1330,1,0,0
flat,sector 84,1.5,3,3,1849,0,1,0
house,sector 105,1.2,3,4,900,0,0,0
flat,sector 63a,2.2,2,3,997,0,0,0
flat,sector 67a,0.6,2,2,633,0,0,0
flat,sector 58,3.8,3,4,2164,0,1,0
flat,sector 70,0.99,3,4,1416,0,0,0
flat,sector 79,1.3,3,3,1215,1,0,0
flat,sector 51,0.71,2,2,1007,0,0,0
flat,sector 37d,1.0,3,3,1602,0,0,0
flat,sector 61,1.6,2,2,1278,1,0,0
flat,sector 88a,1.29,3,3,1642,1,0,0
flat,sector 68,1.0,2,2,1311,0,0,0
house,sector 8,0.82,2,4,891,0,0,0
flat,sector 104,2.45,3,4,2131,0,1,0
flat,sector 83,1.76,3,3,1500,0,1,0
flat,sector 74,1.6,2,2,1272,0,0,0
house,sohna road road,0.95,3,10,1065,0,0,0
flat,sector 109,0.79,3,2,1213,0,0,0
flat,sector 86,1.3,4,6,2521,0,1,0
flat,sector 74,2.25,3,3,1900,1,0,0
flat,sohna road,0.65,2,2,822,0,0,0
flat,sector 81,0.75,2,2,1397,0,0,0
flat,sector 69,3.1,4,6,2817,0,1,0
flat,sector 72,4.1,3,3,2308,0,1,0
flat,sector 102,1.98,3,3,2222,0,1,0
flat,sector 65,2.44,3,3,1654,0,0,0
flat,sector 12,0.72,2,2,1100,0,0,0
flat,sector 66,2.99,3,3,2000,0,1,0
flat,sector 37d,1.49,3,3,1707,0,0,0
flat,sector 69,2.6,4,4,2172,0,1,0
flat,sector 65,2.0,3,3,1833,0,1,0
house,sector 52,5.5,9,9,2700,0,1,0
flat,sector 37c,0.4,2,2,667,0,0,0
flat,sector 90,0.92,3,3,2167,1,0,0
flat,gwal pahari,1.53,3,3,1589,0,0,0
flat,sector 106,0.88,2,2,1120,0,0,0
flat,sector 102,1.9,3,3,2500,0,1,0
house,sector 46,5.65,8,6,2367,0,1,0
flat,sector 93,0.4,2,2,730,0,0,0
house,sector 24,5.25,4,4,1350,0,1,0
flat,sector 67,3.05,3,4,2200,1,1,0
flat,sector 74,1.6,2,2,1508,0,0,0
house,sector 54,3.51,4,4,2844,0,1,0
house,sector 10a,3.6,2,4,1836,0,0,0
flat,sector 79,1.1,2,2,81,0,0,0
flat,sector 107,1.02,2,2,1388,1,0,0
flat,sector 81,0.95,2,2,1260,0,0,0
flat,sohna road,0.55,2,2,913,0,0,0
flat,sector 89,1.25,3,3,1288,0,0,0
house,sector 4,0.92,1,4,603,0,0,0
flat,sector 90,0.65,2,2,1222,1,0,0
flat,sector 54,1.5,3,3,1700,0,0,0
flat,sohna road,0.22,1,1,778,0,0,0
flat,sector 104,0.82,2,2,86,1,0,0
flat,sector 109,2.95,4,4,3150,0,1,1
flat,sector 86,0.87,2,2,1231,0,0,0
flat,sector 65,2.3,3,4,1833,1,1,1
flat,sector 65,2.33,2,2,1141,0,0,0
flat,sector 109,1.75,3,4,1946,0,1,0
flat,sector 102,1.39,3,3,1493,0,1,0
flat,gwal pahari,0.38,1,1,565,0,0,0
flat,sohna road,0.78,3,3,1344,0,0,0
flat,sector 63,2.2,3,4,1554,1,0,0
flat,sector 33,1.67,3,2,1857,0,0,0
house,sector 28,12.0,4,5,2844,0,1,1
flat,sector 36a,0.45,1,1,452,0,0,0
flat,sector 50,2.35,3,3,1900,0,0,0
flat,sector 48,2.0,3,3,1923,0,1,0
flat,gwal pahari,1.5,4,4,2013,1,1,0
flat,sector 113,1.9,3,2,1285,0,0,0
flat,sector 107,0.49,2,2,598,0,0,0
flat,gwal pahari,1.45,3,3,1430,0,0,0
flat,sector 69,1.43,3,3,1305,0,0,0
flat,sector 79,1.4,3,3,1656,0,0,0
flat,gwal pahari,5.25,4,5,5249,1,1,0
flat,sector 69,1.9,4,4,1819,0,0,0
flat,sector 104,1.75,3,4,2036,1,1,0
house,sector 33,1.15,2,2,1400,1,0,0
flat,sector 37,0.67,2,2,1086,0,0,0
flat,sector 95,0.2,1,1,407,0,0,0
flat,sector 69,1.68,3,3,1510,0,0,0
house,sector 25,6.3,4,4,1800,0,1,1
flat,sector 69,0.9,3,2,1326,0,0,0
flat,sohna road,0.26,2,2,535,0,0,0
flat,sector 67a,1.6,3,3,1346,0,0,1
flat,sector 111,2.35,3,3,1615,0,0,0
flat,sector 109,1.45,3,4,1797,0,1,0
house,sector 4,2.35,4,4,1440,0,0,0
flat,sector 89,1.2,3,3,1423,1,0,0
house,sector 45,16.0,6,7,4500,1,1,1
flat,sector 99a,0.3,2,1,500,0,0,0
flat,sector 83,1.3,3,3,2588,0,0,0
flat,sector 99,0.4,2,2,733,0,0,0
flat,sector 112,0.7,2,2,1498,0,0,0
house,sector 3,0.55,1,1,750,0,0,0
house,sector 7,2.0,2,2,1440,0,0,0
house,sector 4,0.8,2,3,675,0,0,0
flat,sector 2,0.2,1,1,556,0,0,0
house,sector 109,6.0,4,5,6228,0,0,0
flat,sector 85,0.88,3,3,1344,0,0,0
flat,sector 102,1.4,3,3,1315,0,1,0
flat,sector 108,3.35,3,4,2525,0,0,0
flat,sector 102,1.76,3,3,1531,0,0,0
flat,sector 99a,0.85,2,2,1133,0,0,0
flat,sector 4,0.42,2,2,833,0,0,0
house,sector 7,1.55,2,2,1080,0,0,0
flat,sector 86,0.78,2,2,1231,0,0,0
flat,sector 33,1.1,2,2,1275,0,0,0
flat,sector 69,1.42,3,3,1428,0,0,0
flat,sector 108,0.7,2,2,1362,0,0,0
flat,sector 38,2.1,4,4,1954,0,0,0
house,sector 50,7.5,3,3,2160,0,1,0
flat,sector 92,0.95,4,3,1983,0,0,0
flat,sector 33,3.25,4,4,4809,0,1,0
flat,sector 56,1.7,3,3,2200,1,0,0
flat,sector 88a,1.19,2,2,1387,1,0,0
house,sector 23,1.2,3,2,1500,0,0,0
flat,sector 102,1.4,2,2,1166,0,0,0
flat,sector 48,1.76,3,3,1576,0,1,0
flat,sector 86,1.45,3,2,1480,0,0,0
flat,sector 69,1.4,3,3,1428,0,0,0
flat,sector 62,7.15,4,5,3925,1,1,1
flat,sector 67,2.72,4,4,2250,0,1,0
flat,sector 93,0.4,2,2,604,0,0,0
flat,sector 70a,1.1,2,2,1312,0,0,0
flat,sector 70a,1.34,2,2,1180,0,0,0
flat,sohna road,0.95,2,2,1050,1,0,0
house,sector 48,19.5,5,6,8775,1,1,1
flat,sector 112,5.6,4,6,3662,0,1,0
flat,sector 91,0.96,2,2,1271,0,0,0
flat,sector 81,2.34,3,4,1760,0,1,0
flat,sector 43,3.25,4,4,3115,0,0,0
flat,sector 77,1.25,3,4,1310,1,1,0
flat,sector 61,1.47,2,2,1333,1,0,0
house,sector 36,0.75,3,1,1081,0,0,0
house,sector 28,10.5,5,6,3240,1,1,0
flat,sector 2,0.98,2,2,1416,1,0,0
flat,sector 69,1.66,3,3,1482,0,0,0
flat,sector 56,0.52,1,1,475,0,0,0
flat,sohna road,0.66,2,2,978,0,0,0
house,sector 12,0.7,4,4,1700,0,0,0
house,sector 2,9.0,5,5,4680,1,1,1
flat,sector 85,1.2,2,2,1380,0,0,1
flat,sector 36a,0.36,1,1,407,0,0,0
house,sector 5,3.5,6,5,2250,1,1,0
flat,sector 67,2.35,3,4,1751,0,1,0
flat,sector 70a,1.51,3,3,1788,0,1,0
flat,sector 83,0.85,2,2,1100,0,0,0
flat,sector 85,1.05,2,2,97,0,0,0
flat,sector 72,1.9,3,3,1787,0,1,0
house,sector 25,6.25,5,5,1800,0,1,0
flat,sector 89,1.32,3,3,867,0,0,0
flat,sector 106,0.88,2,2,940,0,0,0
flat,sector 37d,1.5,3,2,1376,0,0,0
flat,sector 109,1.75,3,3,1550,0,0,0
flat,sector 37c,0.9,3,3,1435,0,0,0
flat,sector 67,3.0,3,3,2047,0,0,1
flat,sohna road,0.28,2,2,588,0,0,0
flat,sohna road,0.56,2,2,913,0,0,0
house,sector 12,3.71,3,3,1872,0,0,0
flat,sector 113,2.85,3,3,2006,0,1,0
flat,sector 37c,1.25,3,3,1563,1,0,0
flat,sector 104,2.0,3,4,2072,0,1,0
flat,sector 107,0.35,2,2,608,0,0,0
flat,sector 109,2.15,3,4,1896,0,1,0
flat,sector 77,1.64,4,3,1765,0,1,0
house,sector 4,0.85,3,3,1130,0,0,0
flat,sector 47,2.4,3,3,2667,0,0,0
house,sector 13,4.5,4,5,4950,0,0,0
flat,sector 95,0.43,2,2,1300,0,0,0
flat,sector 102,1.38,3,3,1315,0,1,0
house,sector 25,15.5,5,6,4518,1,1,1
flat,sector 71,1.35,4,4,2127,0,1,0
flat,sector 65,3.0,4,4,1975,0,1,0
flat,sohna road,0.32,2,2,616,0,0,0
flat,sector 107,0.75,2,2,1201,0,0,0
flat,sector 107,0.36,2,2,496,0,0,0
flat,sector 89,1.0,2,2,1226,1,0,0
flat,sohna road,0.35,2,2,658,0,0,0
flat,sector 48,4.3,4,5,3444,1,1,0
flat,sector 67a,1.7,3,3,1346,0,1,0
flat,sector 69,1.36,3,3,1392,0,0,0
house,sector 56,3.4,6,6,1530,0,0,0
house,sector 67,3.0,4,4,2800,0,0,0
house,sector 43,14.0,9,9,3510,0,1,0
flat,sector 108,3.95,3,5,2343,0,1,0
house,sector 54,5.7,4,4,2430,0,0,0
flat,sector 90,1.65,4,4,2468,0,0,0
flat,sector 2,0.95,2,3,1444,1,0,0
flat,sector 90,1.25,3,3,1929,0,1,0
flat,sector 110,3.79,5,5,3466,0,1,0
house,sector 110,0.34,2,2,270,0,0,0
house,sector 24,3.5,1,4,1080,0,0,0
flat,sector 102,1.75,3,3,1465,1,1,0
house,sector 70a,0.9,2,2,1319,0,1,0
flat,sector 61,1.58,2,2,1278,1,0,0
flat,sector 92,0.5,3,3,579,0,0,0
house,sector 48,5.5,4,4,2340,0,1,0
flat,sector 111,0.36,1,1,450,0,0,0
flat,sector 69,2.0,4,4,1889,0,0,0
house,sector 67,8.0,6,7,3600,1,1,1
flat,sector 47,2.45,3,4,2544,1,0,0
flat,sector 69,2.05,4,4,1889,0,0,0
flat,sector 104,4.45,4,5,7222,0,0,0
flat,sector 102,1.42,2,2,1368,0,0,0
flat,sector 113,2.4,3,4,1940,0,1,0
house,sector 21,0.6,2,3,972,0,0,0
house,sector 26,17.0,5,5,4518,1,1,1
flat,sector 108,2.5,3,3,1480,0,0,0
flat,sector 52,1.5,4,4,1484,0,0,0
flat,sector 78,1.15,3,3,1969,0,1,0
flat,sector 107,0.28,2,2,543,0,0,0
flat,sector 36,0.85,3,2,833,0,0,0
flat,sector 81,3.45,4,4,2527,0,1,0
flat,sector 72,4.25,4,4,2941,0,1,0
flat,sector 89,1.2,3,3,1423,0,0,0
flat,sector 103,0.5,2,2,698,0,0,0
flat,sector 88a,1.45,2,2,133,1,0,0
flat,sector 66,2.8,3,3,1950,1,1,0
house,sector 23,2.8,5,5,1557,0,0,0
house,sector 109,6.75,4,4,6228,0,1,0
house,sector 7,1.15,5,3,1350,0,0,0
flat,sector 95,0.45,2,2,571,0,0,0
flat,sector 91,1.75,4,4,2139,0,1,0
flat,sector 83,1.1,3,3,1600,0,0,0
flat,sector 68,1.7,4,4,1809,0,0,0
flat,sector 108,0.7,2,2,1720,0,0,0
flat,sector 2,1.51,3,4,1738,0,1,0
flat,sector 86,0.44,2,2,668,0,0,0
flat,sector 102,2.35,3,3,2351,1,1,0
flat,sector 104,1.75,4,5,2582,0,1,0
flat,sector 69,1.75,4,4,1783,0,0,0
flat,sector 92,0.6,2,2,1195,0,0,0
flat,sector 56,1.38,3,3,1910,1,0,0
flat,sector 90,0.9,3,4,1765,0,1,0
house,sector 26,4.45,4,4,1265,0,0,0
house,sector 31,3.25,4,4,1449,1,1,1
flat,sector 79,0.36,2,2,546,0,0,0
flat,sector 54,7.0,4,6,2715,0,1,1
flat,sector 83,1.4,3,3,1582,0,1,0
flat,sector 50,2.35,3,3,2000,0,0,1
flat,sector 85,2.15,4,5,2366,0,1,0
flat,sector 108,2.95,3,4,2003,0,0,0
flat,sector 3,1.1,2,2,956,0,0,0
house,sector 47,4.3,3,4,1467,0,0,0
flat,sector 78,1.25,4,4,2300,0,1,0
flat,sector 78,1.2,1,2,823,0,0,0
house,sector 105,9.9,2,2,2000,0,0,0
flat,sector 113,3.35,3,4,2200,1,1,0
flat,sector 70a,1.8,3,3,1925,1,0,0
house,sector 50,7.1,5,4,2160,1,0,1
flat,sector 79,0.71,2,2,1295,0,0,0
flat,sector 84,1.48,3,3,1624,0,1,1
flat,sector 70,1.25,3,3,1688,0,0,0
flat,sector 67,2.87,3,3,2095,0,1,0
flat,sector 61,2.2,3,3,1811,0,0,0
flat,sector 109,1.65,3,3,1650,0,0,1
flat,sector 83,1.4,3,3,1387,1,1,1
flat,sector 77,1.4,3,3,1735,0,0,0
house,sector 43,5.8,6,6,1935,0,1,0
flat,sector 113,3.21,3,3,2281,0,0,0
house,sector 3,0.9,3,4,3500,0,0,0
house,sector 72,8.5,5,6,6300,1,1,1
flat,sector 83,0.4,1,1,520,0,0,0
flat,sector 67,2.95,3,3,2150,0,1,0
flat,sector 95,1.1,4,3,2824,0,1,0
flat,sector 37c,1.0,3,3,1629,0,0,0
flat,sector 82,1.0,2,2,1299,1,0,0
flat,manesar,0.92,3,3,1924,0,1,0
flat,sector 95,0.45,2,2,887,1,0,0
flat,sector 90,1.25,4,5,2330,1,1,0
flat,sector 65,2.35,3,3,1493,1,1,0
flat,sector 69,1.4,3,3,1392,0,0,0
flat,sector 95,0.55,2,2,990,0,0,0
house,sector 105,0.74,3,3,1000,0,0,0
flat,sector 54,11.0,4,6,2826,0,1,0
house,sector 39,1.8,1,1,800,0,0,0
flat,sector 92,1.0,4,3,2167,0,0,0
flat,sector 90,0.65,2,2,1176,1,0,0
flat,sector 79,1.3,2,2,1423,1,0,0
flat,sector 110,3.49,4,5,3077,0,1,0
house,sector 49,6.75,4,4,2088,0,1,0
flat,sector 102,1.05,2,2,1017,0,0,0
flat,sector 28,2.26,3,3,1700,0,1,0
flat,sector 56,0.5,1,1,667,0,0,0
flat,sector 61,2.54,3,3,1639,0,0,1
flat,sector 79,2.0,3,4,1963,0,1,0
flat,sector 90,0.95,3,3,1667,0,1,0
flat,sector 79,1.12,2,2,1325,1,0,0
flat,sector 2,1.01,2,2,1281,0,0,0
flat,sector 104,2.3,3,4,2217,0,1,0
flat,sector 50,6.0,4,3,3982,0,1,0
house,sector 66,12.0,5,5,3240,0,1,1
flat,sector 92,0.92,4,5,1895,0,0,0
flat,sector 113,3.25,4,4,2553,1,1,0
flat,sector 90,1.76,4,4,2020,0,0,0
flat,sector 69,1.75,4,4,1819,0,0,0
house,sector 43,5.25,4,4,1935,1,1,0
house,sector 43,2.5,7,7,963,0,0,0
flat,sector 104,0.4,2,2,515,0,0,0
flat,sector 90,0.9,3,4,1765,0,1,0
flat,sector 102,0.95,2,2,915,0,0,0
flat,sector 70a,1.7,4,3,2111,0,0,0
house,sector 4,0.47,2,2,50,1,0,0
flat,sector 106,0.95,2,2,940,0,0,0
flat,sector 69,1.37,3,3,1392,0,0,0
flat,sohna road,0.35,2,2,616,0,0,0
flat,sector 82a,1.8,3,3,1545,0,1,0
house,sohna road road,1.35,5,5,1350,0,0,0
flat,sector 50,2.51,3,3,2093,0,0,1
flat,sector 3 phase 3 extension,0.22,2,2,570,0,0,0
flat,sector 74,2.45,3,3,1800,1,0,0
flat,sector 69,1.2,2,3,1100,0,0,0
flat,sector 86,1.25,3,2,1529,0,0,0
house,sector 46,2.2,3,3,909,0,0,1
flat,sector 28,1.91,2,2,1278,0,0,0
flat,sohna road,0.95,2,2,1129,1,0,0
flat,sector 89,0.88,2,2,1103,0,0,0
house,sector 48,7.69,4,5,3195,1,1,1
flat,sector 78,1.1,3,3,2176,0,1,0
